alcohol_id,alcohol_type,origin,alcohol_age,alcohol_cost,ABV,tasting_note,tasting_score,flavor_profile,flavor_type_rating
15,whiskey,"Kentucky, USA",,2,62.5,,,,3.53
16,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,47.15,"""This whiskey opens like a beautiful apple and pear tart coming out of the oven: brightly fruity and deliciously warm. The baking spices don't disappear on the palate; in fact, candied ginger and orange peels demand your attention immediately. The rye punch you're expecting never happens. Instead, you get a balanced, sweet bourbon. """,85,"{""smoky"":0,""peaty"":0,""spicy"":75,""herbal"":35,""oily"":70,""full_bodied"":65,""rich"":85,""sweet"":90,""briny"":0,""salty"":0,""vanilla"":60,""tart"":0,""fruity"":90,""floral"":40}",3.72
17,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,44.45,"""The nose showcases vanilla, caramel and honey upfront, along with melon, rye spice, black pepper, and an intermingling of the dark red fruit sweetness of the port. The palate then falls a bit flat and one note after an enticing bouquet. Its woody and oaky notes are dominant, and overall soft and oily. The finish is warm, with a return of caramel sweetness and spice. Much improved with ice, which manages to bring out more flavor, with molasses, char and hints of brown sugar on the palate, moving to a finish with stronger port influence, with red fruits, honey and apricot.""",81,"{""smoky"":0,""peaty"":0,""spicy"":40,""herbal"":10,""oily"":50,""full_bodied"":30,""rich"":30,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":50,""tart"":20,""fruity"":30,""floral"":10}",3.57
18,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,46.85,,,,3.47
19,whiskey,"Barton 1792 // Kentucky, USA",8 Year,2,46.85,"""This bourbon epitomizes Thanksgiving in a bottle. Nose is full of cinnamon, caramel and clove. Oily mouth feel is the perfect compliment to the front of tongue burn with pepper, cinnamon and spiced tea coming though a little bit of oak. Finish is between a medium and long with all of those fall spices still coming through nicely.""",90,"{""smoky"":60,""peaty"":0,""spicy"":70,""herbal"":50,""oily"":60,""full_bodied"":70,""rich"":60,""sweet"":50,""briny"":30,""salty"":30,""vanilla"":30,""tart"":40,""fruity"":50,""floral"":50}",3.61
20,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,49.3,"""An unexpected breeze of pineapple, pear, banana, and tart lemon greet the nose and palate. With further sips, rich vanilla, toffee and butterscotch enrich the fruitiness. The spice comes in at the end in the form of black pepper, clove, allspice, and cinnamon. All together, the whiskey is nicely balanced with a flash of drying heat that travels down the throat. """,90,"{""smoky"":10,""peaty"":0,""spicy"":30,""herbal"":0,""oily"":5,""full_bodied"":70,""rich"":70,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":50,""floral"":5}",3.78
21,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,46.85,"""The nose is rather leathery (in a good bourbon-y way), with cinnamon, nutmeg, and clove mixing with black cherries and fresh red apples. The palate takes on a maple syrup sweetness, with a hint of pipe tobacco, leather, and oakiness. Just as with the nose, sweet, fresh, orchard fruits enter the midpalate, along with hot and sweet spices. The finish has a pleasant heat mixing with fruity sweetness and spice. """,89,"{""smoky"":5,""peaty"":0,""spicy"":35,""herbal"":5,""oily"":10,""full_bodied"":80,""rich"":80,""sweet"":60,""briny"":0,""salty"":0,""vanilla"":15,""tart"":10,""fruity"":40,""floral"":0}",3.5
22,whiskey,"Barton 1792 // Kentucky, USA",8 Years,2,45.6,"""This is a very soft bourbon that is indeed a bit sweeter in style. The flavors are almost akin to a banana split sundae, with heaps of tropical fruits, caramel, vanilla, milk chocolate, cinnamon and even a cherry on top! What keeps it from being too cloying is a tart citrus bite and hot peppery spices, with some oak and leather. This is definitely for those who prefer a sweeter style of whiskey, but might be too sweet for true bourbon aficionados.""",80,"{""smoky"":10,""peaty"":0,""spicy"":40,""herbal"":0,""oily"":10,""full_bodied"":70,""rich"":70,""sweet"":85,""briny"":0,""salty"":0,""vanilla"":60,""tart"":15,""fruity"":70,""floral"":10}",3.64
23,agave,1800 Tequila // Mexico,,4,,,,,
24,agave,"1800 Tequila // Tequila Valley, Jalisco, Mexico",,2,,,,"{""smoky"":10,""earthy"":0,""spicy"":50,""herbal"":15,""oily"":10,""bitter"":0,""rich"":70,""sweet"":70,""mineral"":0,""salty"":15,""umami"":0,""tart"":5,""fruity"":30,""floral"":0}",
25,agave,"1800 Tequila // Tequila Valley, Jalisco, Mexico",,1,,,,"{""smoky"":0,""earthy"":10,""spicy"":20,""herbal"":50,""oily"":0,""bitter"":5,""rich"":30,""sweet"":30,""mineral"":20,""salty"":10,""umami"":0,""tart"":10,""fruity"":40,""floral"":0}",
26,whiskey,"Lewisville, TX, USA",,2,100.0,,,,3.53
27,whiskey,North Texas Distillers // USA,NAS,2,45.0,,,,2.73
28,whiskey,"Syracuse , USA",2,2,44.0,,,,2.95
29,liqueur,1921 Tequila // Mexico,,2,,,,,
30,sugarcane,"Belize, Belize",,4,,,,,
31,whiskey,"Islands, Scotland",23,5,46.8,,,,4.5
32,whiskey,"Highland , Scotland",19,4,46.0,,,,4.5
33,whiskey,2 Gingers // Ireland,4 Years,1,40.0,"""The nose is full of malt and honey along with lemon curd.  The palate continues with a tangy quality and finishes just ever so slightly bitter. The wood spices come through right at the finish line. The double distillation may account for the fullness of the whiskey.  
""",85,"{""smoky"":20,""peaty"":0,""spicy"":40,""herbal"":30,""oily"":40,""full_bodied"":70,""rich"":70,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":60,""tart"":80,""fruity"":70,""floral"":10}",2.95
34,whiskey,"Highlands, Scotland",14,4,54.6,,,,3.58
35,whiskey,"291  // Colorado, USA",NAS,5,66.9,,,,4.58
36,whiskey,"291  // Colorado, USA",NAS,3,50.0,"""Bright amber color and sweet caramel, clove, and nutmeg on the nose. Initially, the bourbon has notes of cinnamon, honey, and dark chocolate before an astringent, earthy finish with a note of leather and tobacco. """,78,"{""smoky"":30,""peaty"":0,""spicy"":50,""herbal"":0,""oily"":0,""full_bodied"":15,""rich"":15,""sweet"":55,""briny"":0,""salty"":0,""vanilla"":45,""tart"":10,""fruity"":40,""floral"":20}",3.68
37,whiskey,"291  // Colorado, USA",NAS,4,50.8,"""Dark chocolate is showcased on the nose, with apricots, raspberries, and syrupy trail mix. The palate is rich, with chocolate and spearmint to the tune of thin mint cookies, as well as salted chocolate truffles, cedar box, and baking spices. The finish continues hitting on rich sweetness highlighted by dark chocolate.""",91,"{""smoky"":10,""peaty"":0,""spicy"":50,""herbal"":50,""oily"":20,""full_bodied"":80,""rich"":80,""sweet"":70,""briny"":0,""salty"":20,""vanilla"":90,""tart"":0,""fruity"":30,""floral"":0}",3.66
38,whiskey,"291  // Colorado, USA",NAS,3,50.8,"""Caramel, baking spice, and honey on the bouquet with an aggressive attack of citrus and sea salt. Mid-palate is soft with a note of vanilla sugar with a very quick finish of malty chocolate. It is very evident that this is a young whiskey. """,74,"{""smoky"":55,""peaty"":0,""spicy"":50,""herbal"":10,""oily"":0,""full_bodied"":15,""rich"":15,""sweet"":40,""briny"":0,""salty"":15,""vanilla"":50,""tart"":25,""fruity"":10,""floral"":20}",3.68
39,whiskey,"Colorado, USA",,3,50.8,,,,4.15
40,whiskey,"2bar Spirits // Washington, USA",NAS,2,50.0,"""The aroma of the bourbon seems to lean into the insecticide territory. There are some hay and caramel notes tucked in there, but the medicinal notes take over and are off-putting. Over time, that blows off, but the palate isn't an improvement. The raw grain flavors highlight the young age of the whiskey with too little of a body to sustain you. Cinnamon hots, fresh herbs, and char notes are what you are left with on the finish.""",68,"{""smoky"":40,""peaty"":0,""spicy"":80,""herbal"":60,""oily"":0,""full_bodied"":30,""rich"":30,""sweet"":40,""briny"":0,""salty"":0,""vanilla"":35,""tart"":40,""fruity"":20,""floral"":0}",3.34
41,agave,3-4-5 // Mexico,,5,,,,,
42,whiskey,33 // USA,NAS,2,43.0,"""Cutler Artisan Spirits' 33 Bourbon hits all the right notes of a good bourbon: It has just the right amount of oak and vanilla to give the spirit a hint of sweetness, and the char of the barrels lends a touch of smoke. Full-bodied and rounded, it still has enough assertiveness at 86-proof to bring a little heat when sipped neat or over a few ice cubes.""",87,"{""smoky"":20,""peaty"":0,""spicy"":30,""herbal"":0,""oily"":25,""full_bodied"":40,""rich"":40,""sweet"":30,""briny"":10,""salty"":0,""vanilla"":40,""tart"":10,""fruity"":15,""floral"":10}",3.72
43,vodka,"360 Vodka // Missouri, USA",,1,,,,,
44,vodka,"360 Vodka // Missouri, USA",,1,,,,,
45,vodka,"360 Vodka // Missouri, USA",,1,,,,"{""grain"":0,""earthy"":0,""spicy"":0,""herbal"":0,""oily"":20,""chemical"":35,""rich"":20,""sweet"":80,""mineral"":0,""neutral"":20,""harsh"":5,""bitter"":0,""fruity"":70,""floral"":0}",
46,vodka,"360 Vodka // Missouri, USA",,1,,,,"{""grain"":0,""earthy"":0,""spicy"":10,""herbal"":0,""oily"":15,""chemical"":39,""rich"":15,""sweet"":85,""mineral"":0,""neutral"":85,""harsh"":35,""bitter"":0,""fruity"":0,""floral"":15}",
47,agave,"4 Copas // Jalisco, Mexico",,3,,,,"{""smoky"":0,""earthy"":20,""spicy"":55,""herbal"":25,""oily"":15,""bitter"":5,""rich"":50,""sweet"":20,""mineral"":15,""salty"":0,""umami"":10,""tart"":0,""fruity"":45,""floral"":15}",
48,agave,"4 Copas // Jalisco, Mexico",,2,,,,"{""smoky"":0,""earthy"":40,""spicy"":40,""herbal"":45,""oily"":10,""bitter"":0,""rich"":70,""sweet"":25,""mineral"":20,""salty"":10,""umami"":25,""tart"":20,""fruity"":65,""floral"":50}",
49,agave,"400 Conejos // Oaxaca, Mexico",,1,,,,,
50,agave,"Oaxaca, Mexico",,2,,,,,
51,vodka,New Zealand,,1,,,,,
52,sugarcane,"51 Cachaça // São Paulo, Brazil",,1,,,,"{""smoky"":0,""earthy"":20,""spicy"":75,""herbal"":25,""oily"":60,""roast"":15,""rich"":40,""sweet"":75,""mineral"":40,""woody"":0,""hogo"":30,""tart"":65,""fruity"":50,""floral"":50}",
53,agave,"818 Tequila // Jalisco, Mexico",,3,,,,,
54,agave,"818 Tequila // Jalisco, Mexico",,3,,,,"{""smoky"":15,""earthy"":20,""spicy"":40,""herbal"":25,""oily"":55,""bitter"":20,""rich"":70,""sweet"":90,""mineral"":0,""salty"":0,""umami"":0,""tart"":25,""fruity"":0,""floral"":0}",
55,whiskey,"Kentucky, USA",2,4,50.0,,,,4.31
56,whiskey,"Park City, Utah, USA",,4,49.3,,,,3.63
57,whiskey,"Park City, Utah, USA",,4,49.3,,,,4.13
58,whiskey,"Speyside, Scotland",7,2,62.7,,,,3.25
59,whiskey,"High west distillery park city Utah , USA",,4,49.3,,,,4.27
60,brandy,"A. de Fussigny // Cognac, France",,2,,,,,
61,whiskey,"A. Smith Bowman // Virginia, USA",NAS ,4,70.55,,,,4.63
62,sugarcane,A.H. Riise // US Virgin Islands,,4,,,,,
63,sugarcane,A.H. Riise // US Virgin Islands,,2,,,,,
64,brandy,"ABK6 // Fins Bois, France",,3,,,,"{""smoky"":10,""earthy"":10,""spicy"":50,""herbal"":20,""oily"":10,""roast"":40,""rich"":70,""sweet"":65,""nutty"":10,""woody"":40,""rancio"":20,""tart"":20,""fruity"":50,""floral"":15}",
65,whiskey,"India, India",,3,40.0,,,,3.25
66,whiskey,"Atlanta GA, USA",,2,57.6,,,,4.07
67,whiskey,"Abasolo // Mexico, Mexico",NAS,2,43.0,"""The nose offers buttery popcorn, toffee, and masa, with a hefty undertone of roasty vegetal notes. The palate shows honey and an agave grassiness, buoyed with a dose of salt. Towards the back palate, find brown sugar, skillet cornbread flecked with jalapenos, and bell peppers. It's a young whisky and a little rough around the edges, though also unique and showing potential.  """,81,"{""smoky"":10,""peaty"":0,""spicy"":40,""herbal"":80,""oily"":40,""full_bodied"":50,""rich"":50,""sweet"":40,""briny"":0,""salty"":30,""vanilla"":40,""tart"":0,""fruity"":10,""floral"":30}",3.04
68,whiskey,"Aberfeldy // Highlands, Scotland",12 Year,2,40.0,"""Sweet aromas of caramel, toffee and beeswax are presented with the tasting profile of more of the same.  Additionally, there's a slight nutty and wood spice finish which winds up on the dry side.""",90,"{""smoky"":20,""peaty"":10,""spicy"":40,""herbal"":10,""oily"":20,""full_bodied"":60,""rich"":70,""sweet"":70,""briny"":10,""salty"":10,""vanilla"":70,""tart"":40,""fruity"":80,""floral"":30}",3.64
69,whiskey,Aberfeldy // Scotland,16 Year,4,40.0,"""Right out of the gate the sweetness and oak spice break out into a classic full-blown fisticuffs. Floral apple blossom and a nice peppery spice circle like a whirlpool in the glass. Oaky tobacco is complimented by the flavors of a master baker’s yeasty raisin bread drenched in honey. This is beautifully constructed single malt that flows instead of overpowers right through the finish.""",91,"{""smoky"":40,""peaty"":0,""spicy"":45,""herbal"":10,""oily"":10,""full_bodied"":50,""rich"":50,""sweet"":50,""briny"":10,""salty"":0,""vanilla"":40,""tart"":30,""fruity"":55,""floral"":35}",3.89
70,whiskey,"Aberfeldy // Highlands, Scotland",21 Year,5,40.0,"""Toasted malt and honey covered fruit take over on the nose.  The sherry influence shines through on the nose and palate with dried fruits.  Heathery and herbal notes are found as well. This 21 year is a bit more spicy and robust than the 12 year and has a small dose of char smoke at the end.  This is a rich, luscious whisky with a long finish.
""",90,"{""smoky"":30,""peaty"":0,""spicy"":70,""herbal"":40,""oily"":20,""full_bodied"":70,""rich"":80,""sweet"":70,""briny"":0,""salty"":20,""vanilla"":60,""tart"":20,""fruity"":80,""floral"":50}",4.13
71,whiskey,"Aberfeldy // Highlands, Scotland",18 Year,5,53.8,"""This is a wonderfully rich and complex dram from Aberfeldy. The strikingly dark color in the glass hints at the flavors to come: port wine, dates, leather, vanilla, and a touch of smoke on the finish. Drink it neat to end a night, or perhaps enjoy it with a nice cigar.""",93,"{""smoky"":10,""peaty"":0,""spicy"":45,""herbal"":35,""oily"":60,""full_bodied"":75,""rich"":70,""sweet"":65,""briny"":10,""salty"":5,""vanilla"":45,""tart"":10,""fruity"":30,""floral"":15}",4.3
72,whiskey,"Aberlour // Highlands, Scotland",10 Year,2,40.0,,,,3.18
73,whiskey,"Aberlour // Highlands, Scotland",12,2,43.0,"""This is a slow to get going whisky, but once it has an opportunity to sit in the glass for just a minute, it really opens up.  The dark sherried notes come through on the nose, but also checking in for a visit are honey, orange peels, and cooked apples.  Some dark chocolate and cinnamon appear and chewy oak tannins arrive fashionably late to the party.  
""",86,"{""smoky"":30,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":70,""briny"":10,""salty"":10,""vanilla"":50,""tart"":40,""fruity"":80,""floral"":30}",3.76
74,whiskey,"Aberlour // Highland, Scotland",12 Year,2,48.0,"""Bright gold in color with stone fruit, grass, dark chocolate, and cereal grains on the nose. Raisin, almond, cinnamon and nutmeg characterize the palate. Notes of dark chocolate return for the finish. """,86,"{""smoky"":20,""peaty"":10,""spicy"":55,""herbal"":35,""oily"":10,""full_bodied"":50,""rich"":50,""sweet"":50,""briny"":5,""salty"":0,""vanilla"":35,""tart"":0,""fruity"":75,""floral"":15}",3.7
75,whiskey,"Aberlour // Highlands, Scotland",12 years,3,43.0,"""The sweetness is refreshingly dialed down, limited to red apples and bing cherry flavors with some marzipan and caramel. This is balanced out by black pepper spice, cardamom, espresso and bittersweet chocolate. The finish has a whiff of pipe tobacco. An excellent rainy night Scotch and good value for the price.""",87,"{""smoky"":15,""peaty"":0,""spicy"":20,""herbal"":0,""oily"":10,""full_bodied"":70,""rich"":70,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":10,""tart"":0,""fruity"":35,""floral"":5}",3.69
76,whiskey,"Aberlour // Highlands, Scotland",15 Year,4,40.0,"""This is a slow to get going whisky, but once it has an opportunity to sit in the glass for just a minute, it really opens up.  The dark sherried notes come through on the nose, but also checking in for a visit are honey, orange peels, and cooked apples.  Some dark chocolate and cinnamon appear and chewy oak tannins arrive fashionably late to the party.  
""",85,"{""smoky"":30,""peaty"":0,""spicy"":50,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":70,""briny"":10,""salty"":10,""vanilla"":50,""tart"":40,""fruity"":80,""floral"":30}",3.75
77,whiskey,"Aberlour // Highlands, Scotland",16 Year,3,43.0,"""The aromas pour forth with a rich and creamy nose of sweet juicy raisins, bold spice, mild oak and a prominent nuttiness.  The mouth speaks of balance between the two finishes, first of ripe plum and a delicate nuttiness, the second of vanilla, toasted oak and delicate baking spices.  This whisky draws a seductively long finish of honey, spice, vanilla and dried dark fruits, which will keep you longing for another sip.""",90,"{""smoky"":12,""peaty"":12,""spicy"":68,""herbal"":54,""oily"":65,""full_bodied"":83,""rich"":85,""sweet"":81,""briny"":56,""salty"":54,""vanilla"":78,""tart"":35,""fruity"":78,""floral"":59}",4.02
78,whiskey,"Aberlour // Highlands, Scotland",18 Year,4,43.0,"""The sherry is prominent in the nose, but don’t be fooled, this is still whisky.  Big with fruit, the nose boasts ripe peach and apricot, warm vanilla and plump raisins, followed by a luscious salted caramel and hints of red apple.   Ripe juicy orange, chocolate covered raisins, peach marmalade and vanilla spice cake round out this supple whisky that finishes long and seductive with cocoa, cinnamon and orange zest.  Though this would be the perfect single malt to sip by the fire, don’t overlook this as a decadent pairing with triple crème or nutty cheeses, dried fruits, and duck liver mousse.  
""",92,"{""smoky"":40,""peaty"":40,""spicy"":74,""herbal"":42,""oily"":78,""full_bodied"":82,""rich"":83,""sweet"":81,""briny"":63,""salty"":64,""vanilla"":76,""tart"":36,""fruity"":84,""floral"":58}",4.31
79,whiskey,"Speyside, Scotland, Scotland",19,5,58.3,,,,4.92
80,whiskey,"Aberlour // Speyside, Scotland",NAS,4,57.1,,,,4.07
81,whiskey,"Aberlour // Highlands, Scotland",NAS,3,60.2,"""As expected, there are loads of sherry wine aromas, but banana and ginger are found as well.  As this is cask strength, one should add a few drops of water for the tasting profile to expand.  A closed wood spiced taste will develop into sweet berry-licious flavors in no time.""",88,"{""smoky"":30,""peaty"":0,""spicy"":80,""herbal"":10,""oily"":40,""full_bodied"":70,""rich"":80,""sweet"":70,""briny"":10,""salty"":10,""vanilla"":70,""tart"":20,""fruity"":80,""floral"":30}",4.2
82,whiskey,Scotland,,3,61.0,,,,4.25
83,whiskey,"Aberlour // Highland, Scotland",NAS,3,48.0,"""The nose is young and fresh, displaying some trademark sherry maturation, with caramel, candy cane, and pear, as well as some pickled lemon peel and sour peach candy. On the palate, the youth of the spirit is noticeable, but there's a good amount of oak there as well. First some sweetness with marzipan and honey, but then quite spicy, with lots of pepper and cloves, as well as a hint of mint.""",79,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":20,""oily"":30,""full_bodied"":45,""rich"":35,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":45,""tart"":40,""fruity"":35,""floral"":15}",3.68
84,whiskey,"Speyside, Scotland",,3,,,,,4.07
85,whiskey,"A. Smith Bowman // Virginia, USA",7.2 years ,3,50.0,"""A very ""bourbony"" bourbon - classic flavors of sweet corn, oak and spice with some caramel apple and leather. Very well balanced between caramel, vanilla and spice with a pleasing nip of heat in the finish.""",90,"{""smoky"":0,""peaty"":0,""spicy"":65,""herbal"":0,""oily"":0,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":25,""floral"":0}",3.86
86,whiskey,"A. Smith Bowman // Virginia, USA",9 Years 8 Months,3,45.0,"""The nose offers cloves, gingersnap cookies, brown sugar, and both chocolate and vanilla. The palate starts with more traditional bourbon flavors, with rich vanilla, oak, and spice. Those added flavors kick back in on a short, smooth finish, with a flourish of chocolate followed by baking spices. Unless you knew this was ""gingerbread cocoa finished,"" you wouldn't necessarily know, but nonetheless, a flavorful, tasty, rich bourbon.""",90,"{""smoky"":20,""peaty"":0,""spicy"":70,""herbal"":0,""oily"":40,""full_bodied"":60,""rich"":80,""sweet"":60,""briny"":0,""salty"":0,""vanilla"":80,""tart"":0,""fruity"":0,""floral"":0}",4.18
87,whiskey,"Abraham Bowman // Virginia, USA",12 Year,3,50.0,"""Perhaps because the bourbon is, in a sense, aged in more bourbon, the classic flavors remain very focused and present. The Port does impart somewhat of a grape-flavored children's cough medicine aspect to it, but it's well integrated. Very much on the sweet and fruity side (plums, grapes, dark cherries), but some clove and leather in the finish.""",85,"{""smoky"":0,""peaty"":0,""spicy"":45,""herbal"":0,""oily"":0,""full_bodied"":45,""rich"":55,""sweet"":87,""briny"":0,""salty"":0,""vanilla"":30,""tart"":10,""fruity"":35,""floral"":0}",3.56
88,whiskey,"Abraham Bowman // Virginia, USA",12 YR 5 MO,3,50.0,"""This release from Abraham Bowman features the intriguing employment of fourth-use barrels to finish the whiskey. The barrels' time holding port seems to impart subtle notes of raisins and dates alongside typical bourbon notes of vanilla, charred oak, and wood tannin.  It's a rich, full-bodied bourbon, worthy of sipping slowly.""",91,"{""smoky"":15,""peaty"":0,""spicy"":40,""herbal"":15,""oily"":35,""full_bodied"":55,""rich"":60,""sweet"":60,""briny"":5,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":25,""floral"":10}",4.5
89,whiskey,"Abraham Bowman // Virginia, USA",NAS,3,58.0,"""The nose is syrupy and rich, with vanilla, caramel, barrel char, and hot cornbread with melting maple butter, as well as deep, leathery aromas. The palate is big, yet not hot given the proof, showcasing spicy oak, with molasses, sour cherry, and cloves, and a sweetness reminiscent of glazed donuts. The finish is long, with astringent oak balanced by spearmint and a thread of rich vanilla sweetness. An eminently sippable bourbon.""",93,"{""smoky"":30,""peaty"":0,""spicy"":60,""herbal"":30,""oily"":20,""full_bodied"":90,""rich"":80,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":80,""tart"":40,""fruity"":30,""floral"":0}",4.85
90,vodka,Absolut // Sweden,,2,,,,,
91,vodka,Absolut // Sweden,,1,,,,"{""grain"":25,""earthy"":0,""spicy"":25,""herbal"":0,""oily"":35,""chemical"":10,""rich"":35,""sweet"":25,""mineral"":0,""neutral"":0,""harsh"":10,""bitter"":50,""fruity"":90,""floral"":10}",
92,vodka,Absolut // Sweden,,1,,,,"{""grain"":15,""earthy"":0,""spicy"":10,""herbal"":15,""oily"":15,""chemical"":0,""rich"":35,""sweet"":45,""mineral"":0,""neutral"":0,""harsh"":0,""bitter"":35,""fruity"":80,""floral"":10}",
93,other,Absolut // Sweden,,1,,,,,
94,vodka,Absolut // Sweden,,1,,,,,
95,vodka,Absolut // Sweden,,1,,,,"{""grain"":75,""earthy"":20,""spicy"":15,""herbal"":15,""oily"":15,""chemical"":0,""rich"":45,""sweet"":35,""mineral"":15,""neutral"":70,""harsh"":0,""bitter"":20,""fruity"":10,""floral"":0}",
96,sugarcane,"Rank Wildcat Spirits // Louisiana, USA",,2,,,,"{""smoky"":5,""earthy"":5,""spicy"":10,""herbal"":30,""oily"":10,""roast"":5,""rich"":10,""sweet"":25,""mineral"":10,""woody"":5,""hogo"":20,""tart"":10,""fruity"":10,""floral"":15}",
97,whiskey,"Highland, Scotland",5,4,67.4,,,,4.5
98,sugarcane,Admiral Rodney // Saint Lucia,,3,,,,,
99,sugarcane,Admiral Rodney // Saint Lucia,,2,,,,,
100,whiskey,USA,,3,50.0,,,,4.25
